pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
pai,arrotar,7,0,2,1,00:00,1,00:30
pai,ninar,0,4,6,1,01:00,1,01:30
mae,amamentar,0,6,10,1,01:30,1,02:30
mae,trocar_fralda,0,10,12,1,02:30,1,03:00
pai,banho_de_sol,0,13,14,1,03:15,1,03:30
pai,lavar_roupa,0,15,16,1,03:45,1,04:00
pai,ninar,1,16,18,1,04:00,1,04:30
mae,amamentar,1,18,22,1,04:30,1,05:30
pai,estender_roupa,0,19,20,1,04:45,1,05:00
mae,trocar_fralda,1,22,24,1,05:30,1,06:00
pai,lavar_banheiro,0,23,25,1,05:45,1,06:15
pai,arrotar,2,26,28,1,06:30,1,07:00
avo,ninar,2,28,30,1,07:00,1,07:30
pai,lavar_louca,2,29,30,1,07:15,1,07:30
mae,amamentar,2,30,34,1,07:30,1,08:30
mae,trocar_fralda,2,34,36,1,08:30,1,09:00
avo,cortar_unha,0,36,37,1,09:00,1,09:15
avo,arrotar,6,38,40,1,09:30,1,10:00
babysitter,ninar,3,40,42,1,10:00,1,10:30
mae,amamentar,3,42,46,1,10:30,1,11:30
babysitter,trocar_fralda,3,46,48,1,11:30,1,12:00
babysitter,arrotar,0,48,50,1,12:00,1,12:30
babysitter,arrotar,3,50,52,1,12:30,1,13:00
babysitter,ninar,4,52,54,1,13:00,1,13:30
mae,amamentar,4,54,58,1,13:30,1,14:30
avo,preparar_almoco,0,55,57,1,13:45,1,14:15
babysitter,trocar_fralda,4,58,60,1,14:30,1,15:00
tia,arrotar,5,60,62,1,15:00,1,15:30
avo,preparar_jantar,0,61,63,1,15:15,1,15:45
tia,banho,0,62,64,1,15:30,1,16:00
tia,ninar,5,64,66,1,16:00,1,16:30
mae,amamentar,5,66,70,1,16:30,1,17:30
mae,trocar_fralda,5,70,72,1,17:30,1,18:00
pai,lavar_louca,0,71,72,1,17:45,1,18:00
tio,arrotar,4,72,74,1,18:00,1,18:30
tio,arrotar,1,74,76,1,18:30,1,19:00
tio,ninar,6,76,78,1,19:00,1,19:30
pai,tirar_lixo,0,77,78,1,19:15,1,19:30
mae,amamentar,6,78,82,1,19:30,1,20:30
pai,aspirar_casa,0,80,82,1,20:00,1,20:30
mae,trocar_fralda,6,82,84,1,20:30,1,21:00
pai,preparar_cafe_manha,0,84,85,1,21:00,1,21:15
mae,passar_roupa,0,87,89,1,21:45,1,22:15
pai,ninar,7,88,90,1,22:00,1,22:30
mae,amamentar,7,90,94,1,22:30,1,23:30
mae,trocar_fralda,7,94,96,1,23:30,2,00:00
pai,lavar_louca,1,95,96,1,23:45,2,00:00
