pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
avo,limpar_casa,0,0,2
babysitter,ninar,0,0,2
mae,amamentar,0,2,6
avo,arrotar,0,6,7
tio,trocar_fralda,0,8,9
pai,lavar_louca,1,10,11
mae,ninar,1,12,14
mae,amamentar,1,14,18
avo,arrotar,1,18,19
mae,trocar_fralda,1,20,21
pai,ninar,2,24,26
mae,amamentar,2,26,30
mae,arrotar,2,30,31
avo,trocar_fralda,2,32,33
mae,banho_sol,0,33,34
tio,ninar,3,36,38
mae,amamentar,3,38,42
tio,arrotar,3,42,43
tio,trocar_fralda,3,44,45
pai,banho_bebe,0,45,47
pai,ninar,4,48,50
avo,preparar_almoco,0,49,51
mae,amamentar,4,50,54
pai,lavar_louca,0,53,54
mae,arrotar,4,54,55
mae,trocar_fralda,4,56,57
tio,ninar,5,60,62
mae,amamentar,5,62,66
tio,arrotar,5,66,67
avo,trocar_fralda,5,68,69
avo,ninar,6,72,74
mae,amamentar,6,74,78
mae,arrotar,6,78,79
tio,preparar_jantar,0,78,80
avo,trocar_fralda,6,80,81
mae,ninar,7,84,86
mae,amamentar,7,86,90
mae,arrotar,7,90,91
avo,trocar_fralda,7,92,93
