pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
babysitter,ninar,0,4,6
pai,trocar_fralda,0,6,7
mae,amamentar,0,7,11
pai,arrotar,0,11,12
avo,ninar,1,16,18
pai,preparar_jantar,0,17,19
mae,trocar_fralda,1,18,19
avo,limpar_casa,0,18,21
mae,amamentar,1,19,23
avo,preparar_almoco,0,21,23
pai,arrotar,1,23,24
pai,lavar_louca,0,26,27
pai,lavar_louca,1,27,28
avo,ninar,2,28,30
avo,trocar_fralda,2,30,31
mae,amamentar,2,31,35
pai,arrotar,2,35,36
pai,banho_sol,0,39,40
avo,ninar,3,40,42
avo,trocar_fralda,3,42,43
mae,amamentar,3,43,47
mae,arrotar,3,47,48
avo,ninar,4,52,54
avo,trocar_fralda,4,54,55
mae,amamentar,4,55,59
mae,arrotar,4,59,60
pai,banho_bebe,0,61,63
mae,ninar,5,64,66
avo,trocar_fralda,5,66,67
mae,amamentar,5,67,71
pai,arrotar,5,71,72
pai,ninar,6,76,78
pai,trocar_fralda,6,78,79
mae,amamentar,6,79,83
avo,arrotar,6,83,84
babysitter,ninar,7,88,90
mae,trocar_fralda,7,90,91
mae,amamentar,7,91,95
avo,arrotar,7,95,96
