pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,ninar,0,1,3
mae,trocar_fralda,0,4,6
pai,lavar_banheiro,5,5,9
mae,amamentar,0,6,10
mae,banho,5,10,12
pai,arrotar,0,10,12
mae,ninar,1,13,15
pai,lavar_banheiro,6,14,18
mae,trocar_fralda,1,16,18
mae,amamentar,1,18,22
pai,banho,0,18,20
pai,fazer_comida,13,21,27
avo,arrotar,1,22,24
mae,banho,6,25,27
avo,ninar,2,25,27
mae,trocar_fralda,2,28,30
pai,lavar_louca,4,28,30
mae,amamentar,2,30,34
pai,lavar_louca,9,30,32
mae,arrotar,2,34,36
avo,ninar,3,37,39
mae,trocar_fralda,3,40,42
mae,amamentar,3,42,46
mae,arrotar,3,46,48
mae,ninar,4,49,51
mae,trocar_fralda,4,52,54
mae,amamentar,4,54,58
mae,arrotar,4,58,60
mae,ninar,5,61,63
mae,trocar_fralda,5,64,66
mae,amamentar,5,66,70
mae,arrotar,5,70,72
babysitter,ninar,6,73,75
mae,trocar_fralda,6,76,78
pai,lavar_banheiro,2,77,81
mae,amamentar,6,78,82
pai,fazer_comida,11,81,87
mae,arrotar,6,82,84
mae,ninar,7,85,87
mae,trocar_fralda,7,88,90
pai,fazer_comida,0,89,95
mae,amamentar,7,90,94
mae,arrotar,7,94,96
pai,fazer_comida,12,96,102
mae,ninar,8,97,99
mae,trocar_fralda,8,100,102
mae,amamentar,8,102,106
pai,lavar_louca,1,105,107
mae,arrotar,8,106,108
mae,ninar,9,109,111
mae,trocar_fralda,9,112,114
pai,lavar_louca,11,112,114
mae,amamentar,9,114,118
pai,lavar_louca,6,115,117
pai,fazer_comida,10,117,123
mae,arrotar,9,118,120
mae,ninar,10,121,123
pai,lavar_louca,0,123,125
mae,trocar_fralda,10,124,126
mae,amamentar,10,126,130
mae,arrotar,10,130,132
mae,ninar,11,133,135
mae,trocar_fralda,11,136,138
mae,amamentar,11,138,142
mae,arrotar,11,142,144
mae,ninar,12,145,147
mae,trocar_fralda,12,148,150
mae,amamentar,12,150,154
mae,arrotar,12,154,156
mae,ninar,13,157,159
mae,trocar_fralda,13,160,162
mae,amamentar,13,162,166
mae,arrotar,13,166,168
pai,lavar_louca,2,168,170
mae,ninar,14,169,171
mae,trocar_fralda,14,172,174
mae,amamentar,14,174,178
pai,fazer_comida,7,176,182
babysitter,arrotar,14,178,180
mae,ninar,15,181,183
mae,trocar_fralda,15,184,186
mae,amamentar,15,186,190
mae,arrotar,15,190,192
mae,ninar,16,193,195
pai,lavar_louca,3,194,196
mae,trocar_fralda,16,196,198
pai,fazer_comida,9,196,202
mae,amamentar,16,198,202
mae,arrotar,16,202,204
pai,lavar_louca,5,204,206
avo,ninar,17,205,207
pai,fazer_comida,4,206,212
mae,trocar_fralda,17,208,210
mae,amamentar,17,210,214
pai,fazer_comida,3,212,218
avo,arrotar,17,214,216
mae,ninar,18,217,219
mae,trocar_fralda,18,220,222
mae,amamentar,18,222,226
mae,arrotar,18,226,228
mae,ninar,19,229,231
mae,trocar_fralda,19,232,234
mae,amamentar,19,234,238
avo,banho,1,234,236
mae,arrotar,19,238,240
mae,ninar,20,241,243
mae,trocar_fralda,20,244,246
mae,amamentar,20,246,250
mae,arrotar,20,250,252
mae,ninar,21,253,255
mae,trocar_fralda,21,256,258
mae,amamentar,21,258,262
mae,arrotar,21,262,264
mae,ninar,22,265,267
mae,trocar_fralda,22,268,270
mae,amamentar,22,270,274
pai,arrotar,22,274,276
mae,ninar,23,277,279
mae,trocar_fralda,23,280,282
mae,amamentar,23,282,286
pai,lavar_louca,7,283,285
mae,arrotar,23,286,288
pai,ninar,24,289,291
mae,trocar_fralda,24,292,294
pai,lavar_louca,10,292,294
mae,amamentar,24,294,298
pai,fazer_comida,1,294,300
mae,arrotar,24,298,300
mae,banho,3,300,302
pai,ninar,25,301,303
mae,trocar_fralda,25,304,306
mae,amamentar,25,306,310
mae,arrotar,25,310,312
mae,ninar,26,313,315
mae,trocar_fralda,26,316,318
mae,amamentar,26,318,322
mae,arrotar,26,322,324
mae,ninar,27,325,327
mae,trocar_fralda,27,328,330
mae,amamentar,27,330,334
mae,arrotar,27,334,336
mae,ninar,28,337,339
mae,trocar_fralda,28,340,342
mae,amamentar,28,342,346
mae,arrotar,28,346,348
mae,ninar,29,349,351
mae,trocar_fralda,29,352,354
mae,amamentar,29,354,358
mae,arrotar,29,358,360
pai,ninar,30,361,363
mae,trocar_fralda,30,364,366
pai,lavar_banheiro,4,364,368
mae,amamentar,30,366,370
mae,arrotar,30,370,372
pai,fazer_comida,6,370,376
mae,ninar,31,373,375
