pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,trocar_fralda,31,376,378
mae,amamentar,31,378,382
mae,arrotar,31,382,384
mae,ninar,32,385,387
mae,trocar_fralda,32,388,390
pai,fazer_comida,2,388,394
mae,amamentar,32,390,394
mae,arrotar,32,394,396
mae,ninar,33,397,399
mae,trocar_fralda,33,400,402
mae,amamentar,33,402,406
pai,arrotar,33,406,408
mae,ninar,34,409,411
pai,lavar_banheiro,1,409,413
mae,trocar_fralda,34,412,414
mae,amamentar,34,414,418
mae,arrotar,34,418,420
avo,ninar,35,421,423
mae,trocar_fralda,35,424,426
mae,amamentar,35,426,430
mae,arrotar,35,430,432
mae,ninar,36,433,435
mae,trocar_fralda,36,436,438
mae,amamentar,36,438,442
mae,arrotar,36,442,444
mae,ninar,37,445,447
mae,trocar_fralda,37,448,450
mae,amamentar,37,450,454
mae,arrotar,37,454,456
pai,ninar,38,457,459
mae,trocar_fralda,38,460,462
mae,amamentar,38,462,466
pai,arrotar,38,466,468
pai,lavar_banheiro,3,468,472
mae,ninar,39,469,471
mae,trocar_fralda,39,472,474
mae,amamentar,39,474,478
mae,arrotar,39,478,480
mae,ninar,40,481,483
mae,trocar_fralda,40,484,486
mae,amamentar,40,486,490
mae,arrotar,40,490,492
pai,ninar,41,493,495
mae,trocar_fralda,41,496,498
mae,amamentar,41,498,502
mae,arrotar,41,502,504
pai,ninar,42,505,507
mae,trocar_fralda,42,508,510
mae,amamentar,42,510,514
mae,arrotar,42,514,516
mae,banho,2,517,519
pai,ninar,43,517,519
mae,trocar_fralda,43,520,522
mae,amamentar,43,522,526
pai,lavar_louca,8,522,524
mae,arrotar,43,526,528
mae,ninar,44,529,531
mae,trocar_fralda,44,532,534
mae,amamentar,44,534,538
pai,lavar_louca,13,536,538
mae,arrotar,44,538,540
pai,fazer_comida,5,538,544
mae,ninar,45,541,543
mae,trocar_fralda,45,544,546
pai,lavar_banheiro,0,544,548
mae,amamentar,45,546,550
mae,arrotar,45,550,552
mae,ninar,46,553,555
mae,trocar_fralda,46,556,558
mae,amamentar,46,558,562
pai,arrotar,46,562,564
pai,ninar,47,565,567
pai,lavar_louca,12,567,569
mae,trocar_fralda,47,568,570
mae,amamentar,47,570,574
mae,arrotar,47,574,576
pai,ninar,48,577,579
mae,trocar_fralda,48,580,582
mae,amamentar,48,582,586
mae,arrotar,48,586,588
mae,ninar,49,589,591
mae,trocar_fralda,49,592,594
mae,amamentar,49,594,598
pai,fazer_comida,8,597,603
mae,arrotar,49,598,600
mae,ninar,50,601,603
mae,trocar_fralda,50,604,606
mae,amamentar,50,606,610
mae,arrotar,50,610,612
mae,ninar,51,613,615
mae,trocar_fralda,51,616,618
mae,amamentar,51,618,622
pai,arrotar,51,622,624
mae,ninar,52,625,627
mae,trocar_fralda,52,628,630
mae,amamentar,52,630,634
pai,arrotar,52,634,636
mae,ninar,53,637,639
mae,trocar_fralda,53,640,642
mae,amamentar,53,642,646
mae,arrotar,53,646,648
pai,ninar,54,649,651
mae,trocar_fralda,54,652,654
mae,amamentar,54,654,658
mae,banho,4,658,660
pai,arrotar,54,658,660
mae,ninar,55,661,663
mae,trocar_fralda,55,664,666
mae,amamentar,55,666,670
pai,arrotar,55,670,672
