pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
pai,tirar_lixo,0,0,1,1,00:00,1,00:15
mae,amamentar,0,3,7,1,00:45,1,01:45
pai,lavar_louca,1,4,5,1,01:00,1,01:15
pai,ninar,0,7,9,1,01:45,1,02:15
mae,trocar_fralda,0,9,11,1,02:15,1,02:45
pai,lavar_banheiro,0,12,14,1,03:00,1,03:30
mae,amamentar,1,15,19,1,03:45,1,04:45
pai,lavar_roupa,0,15,16,1,03:45,1,04:00
pai,ninar,1,19,21,1,04:45,1,05:15
mae,trocar_fralda,1,21,23,1,05:15,1,05:45
pai,arrotar,1,23,25,1,05:45,1,06:15
pai,arrotar,4,25,27,1,06:15,1,06:45
mae,amamentar,2,27,31,1,06:45,1,07:45
pai,lavar_louca,2,29,30,1,07:15,1,07:30
avo,ninar,2,31,33,1,07:45,1,08:15
mae,trocar_fralda,2,33,35,1,08:15,1,08:45
mae,passar_roupa,0,35,37,1,08:45,1,09:15
avo,arrotar,0,37,39,1,09:15,1,09:45
mae,amamentar,3,39,43,1,09:45,1,10:45
babysitter,ninar,3,43,45,1,10:45,1,11:15
babysitter,trocar_fralda,3,45,47,1,11:15,1,11:45
babysitter,arrotar,7,47,49,1,11:45,1,12:15
avo,cortar_unha,0,49,50,1,12:15,1,12:30
mae,amamentar,4,51,55,1,12:45,1,13:45
avo,preparar_almoco,0,51,53,1,12:45,1,13:15
babysitter,ninar,4,55,57,1,13:45,1,14:15
babysitter,trocar_fralda,4,57,59,1,14:15,1,14:45
tia,banho_de_sol,0,60,61,1,15:00,1,15:15
tia,arrotar,5,61,63,1,15:15,1,15:45
mae,amamentar,5,63,67,1,15:45,1,16:45
tia,preparar_jantar,0,63,65,1,15:45,1,16:15
tia,ninar,5,67,69,1,16:45,1,17:15
mae,trocar_fralda,5,69,71,1,17:15,1,17:45
pai,estender_roupa,0,69,70,1,17:15,1,17:30
pai,lavar_louca,0,71,72,1,17:45,1,18:00
tio,banho,0,71,73,1,17:45,1,18:15
tio,arrotar,6,73,75,1,18:15,1,18:45
mae,amamentar,6,75,79,1,18:45,1,19:45
tio,ninar,6,79,81,1,19:45,1,20:15
mae,trocar_fralda,6,81,83,1,20:15,1,20:45
tio,arrotar,3,83,85,1,20:45,1,21:15
pai,preparar_cafe_manha,0,84,85,1,21:00,1,21:15
pai,arrotar,2,85,87,1,21:15,1,21:45
mae,amamentar,7,87,91,1,21:45,1,22:45
pai,aspirar_casa,0,87,89,1,21:45,1,22:15
pai,ninar,7,91,93,1,22:45,1,23:15
mae,trocar_fralda,7,93,95,1,23:15,1,23:45
