pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,0,4
pai,lavar_louca,1,0,1
pai,arrotar,0,4,6
pai,ninar,0,6,8
mae,trocar_fralda,0,8,10
mae,amamentar,1,12,16
pai,tirar_lixo,0,12,13
pai,arrotar,1,16,18
pai,ninar,1,18,20
mae,trocar_fralda,1,20,22
pai,lavar_banheiro,0,22,24
mae,amamentar,2,24,28
pai,arrotar,2,28,30
pai,ninar,2,30,32
mae,trocar_fralda,2,32,34
mae,amamentar,3,36,40
babysitter,arrotar,3,40,42
babysitter,ninar,3,42,44
mae,passar_roupa,0,44,46
babysitter,trocar_fralda,3,44,46
avo,cortar_unha,0,47,48
mae,amamentar,4,48,52
avo,arrotar,4,52,54
babysitter,ninar,4,54,56
babysitter,trocar_fralda,4,56,58
babysitter,banho,0,58,60
mae,amamentar,5,60,64
avo,preparar_almoco,0,63,65
tio,arrotar,5,64,66
mae,preparar_cafe_manha,0,65,66
mae,preparar_jantar,0,66,68
tia,ninar,5,66,68
mae,trocar_fralda,5,68,70
pai,lavar_louca,0,70,71
mae,banho_de_sol,0,71,72
mae,amamentar,6,72,76
mae,arrotar,6,76,78
pai,aspirar_casa,0,76,78
tio,ninar,6,78,80
mae,trocar_fralda,6,80,82
mae,amamentar,7,84,88
mae,arrotar,7,88,90
pai,ninar,7,90,92
mae,trocar_fralda,7,92,94
pai,lavar_roupa,0,93,94
mae,estender_roupa,0,94,95
