pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,0,4
pai,tirar_lixo,0,2,3
pai,arrotar,0,4,6
mae,trocar_fralda,0,6,8
pai,ninar,0,10,12
mae,amamentar,1,12,16
mae,arrotar,1,16,18
pai,lavar_banheiro,0,16,18
mae,trocar_fralda,1,18,20
mae,passar_roupa,0,22,24
pai,ninar,1,22,24
mae,amamentar,2,24,28
mae,arrotar,2,28,30
pai,preparar_cafe_manha,0,29,30
mae,trocar_fralda,2,30,32
avo,banho_de_sol,0,33,34
avo,ninar,2,34,36
mae,amamentar,3,36,40
mae,arrotar,3,40,42
babysitter,trocar_fralda,3,42,44
avo,cortar_unha,0,44,45
babysitter,ninar,3,46,48
mae,amamentar,4,48,52
avo,preparar_almoco,0,48,50
avo,arrotar,4,52,54
babysitter,trocar_fralda,4,54,56
avo,banho,0,56,58
babysitter,ninar,4,58,60
mae,amamentar,5,60,64
tio,arrotar,5,64,66
mae,trocar_fralda,5,66,68
pai,preparar_jantar,0,68,70
mae,ninar,5,70,72
pai,lavar_louca,0,70,71
mae,amamentar,6,72,76
pai,aspirar_casa,0,76,78
tio,arrotar,6,76,78
mae,trocar_fralda,6,78,80
pai,lavar_roupa,0,79,80
tio,ninar,6,82,84
pai,lavar_louca,1,83,84
mae,amamentar,7,84,88
pai,estender_roupa,0,84,85
mae,arrotar,7,88,90
mae,trocar_fralda,7,90,92
pai,lavar_louca,2,90,91
pai,ninar,7,94,96
