pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,4,8
pai,lavar_louca,1,5,6
pai,arrotar,0,8,9
mae,trocar_fralda,0,9,10
pai,ninar,0,10,12
mae,amamentar,1,16,20
mae,arrotar,1,20,21
pai,trocar_fralda,1,21,22
pai,ninar,1,22,24
pai,limpar_casa,0,27,30
mae,amamentar,2,28,32
mae,arrotar,2,32,33
mae,trocar_fralda,2,33,34
mae,ninar,2,34,36
mae,amamentar,3,40,44
mae,arrotar,3,44,45
avo,trocar_fralda,3,45,46
mae,ninar,3,46,48
avo,banho_sol,0,48,49
mae,amamentar,4,52,56
mae,arrotar,4,56,57
avo,trocar_fralda,4,57,58
mae,ninar,4,58,60
mae,banho_bebe,0,62,64
mae,amamentar,5,64,68
mae,arrotar,5,68,69
mae,trocar_fralda,5,69,70
mae,ninar,5,70,72
mae,amamentar,6,76,80
pai,preparar_jantar,0,79,81
babysitter,arrotar,6,80,81
pai,preparar_almoco,0,81,83
babysitter,trocar_fralda,6,81,82
mae,ninar,6,82,84
pai,lavar_louca,0,84,85
mae,amamentar,7,88,92
mae,arrotar,7,92,93
pai,trocar_fralda,7,93,94
pai,ninar,7,94,96
