pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,1,0,4
pai,arrotar,6,6,8
pai,arrotar,5,8,10
mae,amamentar,4,10,14
mae,amamentar,0,14,18
mae,trocar_fralda,2,18,20
mae,trocar_fralda,6,20,22
mae,amamentar,7,22,26
mae,amamentar,6,26,30
avo,preparar_almoco,0,28,30
mae,banho,0,32,34
mae,estender_roupa,0,34,35
mae,amamentar,2,35,39
babysitter,ninar,4,40,42
babysitter,trocar_fralda,0,42,44
avo,preparar_jantar,0,44,46
babysitter,ninar,7,44,46
babysitter,ninar,1,46,48
mae,preparar_cafe_manha,0,48,49
avo,cortar_unha,0,48,49
babysitter,trocar_fralda,3,49,51
babysitter,ninar,2,51,53
babysitter,ninar,6,53,55
babysitter,ninar,5,55,57
babysitter,trocar_fralda,7,57,59
babysitter,ninar,0,59,61
avo,banho_de_sol,0,62,63
mae,trocar_fralda,4,65,67
tia,arrotar,1,67,69
pai,arrotar,0,70,72
mae,lavar_roupa,0,71,72
mae,amamentar,5,72,76
pai,aspirar_casa,0,75,77
mae,ninar,3,76,78
mae,trocar_fralda,5,79,81
tio,arrotar,7,81,83
tio,arrotar,4,83,85
mae,amamentar,3,85,89
pai,lavar_banheiro,0,85,87
pai,lavar_louca,0,87,88
pai,lavar_louca,1,88,89
pai,lavar_louca,2,89,90
pai,arrotar,3,90,92
mae,passar_roupa,0,92,94
pai,arrotar,2,92,94
mae,trocar_fralda,1,94,96
pai,tirar_lixo,0,94,95
