pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,ninar,0,0,2
mae,amamentar,0,2,6
pai,limpar_casa,0,5,8
mae,arrotar,0,6,7
mae,trocar_fralda,0,8,9
pai,lavar_louca,1,10,11
pai,ninar,1,12,14
mae,amamentar,1,14,18
avo,arrotar,1,18,19
pai,trocar_fralda,1,20,21
mae,ninar,2,24,26
mae,amamentar,2,26,30
mae,arrotar,2,30,31
avo,trocar_fralda,2,32,33
mae,banho_sol,0,35,36
avo,ninar,3,36,38
mae,amamentar,3,38,42
pai,arrotar,3,42,43
mae,trocar_fralda,3,44,45
pai,preparar_jantar,0,44,46
avo,preparar_almoco,0,44,46
mae,banho_bebe,0,45,47
pai,lavar_louca,0,46,47
avo,ninar,4,48,50
mae,amamentar,4,50,54
avo,arrotar,4,54,55
avo,trocar_fralda,4,56,57
mae,ninar,5,60,62
mae,amamentar,5,62,66
mae,arrotar,5,66,67
babysitter,trocar_fralda,5,68,69
avo,ninar,6,72,74
mae,amamentar,6,74,78
mae,arrotar,6,78,79
pai,trocar_fralda,6,80,81
babysitter,ninar,7,84,86
mae,amamentar,7,86,90
mae,arrotar,7,90,91
avo,trocar_fralda,7,92,93
