pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
pai,ninar,0,1,3,1,00:15,1,00:45
pai,arrotar,0,3,5,1,00:45,1,01:15
mae,trocar_fralda,0,5,7,1,01:15,1,01:45
pai,estender_roupa,0,5,6,1,01:15,1,01:30
pai,preparar_cafe_manha,0,6,7,1,01:30,1,01:45
mae,amamentar,0,7,11,1,01:45,1,02:45
pai,lavar_louca,1,10,11,1,02:30,1,02:45
pai,ninar,1,13,15,1,03:15,1,03:45
mae,trocar_fralda,1,17,19,1,04:15,1,04:45
mae,amamentar,1,19,23,1,04:45,1,05:45
pai,ninar,2,25,27,1,06:15,1,06:45
pai,tirar_lixo,0,28,29,1,07:00,1,07:15
mae,trocar_fralda,2,29,31,1,07:15,1,07:45
mae,amamentar,2,31,35,1,07:45,1,08:45
avo,arrotar,1,35,37,1,08:45,1,09:15
avo,ninar,3,37,39,1,09:15,1,09:45
avo,arrotar,5,39,41,1,09:45,1,10:15
babysitter,trocar_fralda,3,41,43,1,10:15,1,10:45
avo,preparar_almoco,0,42,44,1,10:30,1,11:00
mae,amamentar,3,43,47,1,10:45,1,11:45
babysitter,arrotar,7,47,49,1,11:45,1,12:15
babysitter,ninar,4,49,51,1,12:15,1,12:45
babysitter,arrotar,6,51,53,1,12:45,1,13:15
babysitter,trocar_fralda,4,53,55,1,13:15,1,13:45
babysitter,amamentar,4,55,59,1,13:45,1,14:45
avo,cortar_unha,0,59,60,1,14:45,1,15:00
tio,banho_de_sol,0,60,61,1,15:00,1,15:15
tia,lavar_louca,0,60,61,1,15:00,1,15:15
tia,ninar,5,61,63,1,15:15,1,15:45
avo,preparar_jantar,0,63,65,1,15:45,1,16:15
tia,arrotar,4,63,65,1,15:45,1,16:15
mae,trocar_fralda,5,65,67,1,16:15,1,16:45
tia,passar_roupa,0,65,67,1,16:15,1,16:45
tia,amamentar,5,67,71,1,16:45,1,17:45
tio,lavar_banheiro,0,69,71,1,17:15,1,17:45
tio,banho,0,71,73,1,17:45,1,18:15
tio,ninar,6,73,75,1,18:15,1,18:45
tio,arrotar,2,75,77,1,18:45,1,19:15
mae,trocar_fralda,6,77,79,1,19:15,1,19:45
pai,lavar_roupa,0,77,78,1,19:15,1,19:30
mae,amamentar,6,79,83,1,19:45,1,20:45
pai,aspirar_casa,0,81,83,1,20:15,1,20:45
tio,arrotar,3,83,85,1,20:45,1,21:15
pai,ninar,7,85,87,1,21:15,1,21:45
mae,trocar_fralda,7,89,91,1,22:15,1,22:45
mae,amamentar,7,91,95,1,22:45,1,23:45
pai,lavar_louca,2,95,96,1,23:45,2,00:00
