pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,trocar_fralda,43,525,527
mae,ninar,44,529,531
mae,amamentar,44,531,535
mae,arrotar,44,535,537
mae,trocar_fralda,44,537,539
mae,banho,0,539,541
mae,ninar,45,541,543
mae,amamentar,45,543,547
mae,arrotar,45,547,549
mae,trocar_fralda,45,549,551
mae,ninar,46,553,555
mae,amamentar,46,555,559
pai,fazer_comida,7,556,562
mae,arrotar,46,559,561
mae,trocar_fralda,46,561,563
pai,ninar,47,565,567
mae,amamentar,47,567,571
mae,arrotar,47,571,573
mae,trocar_fralda,47,573,575
pai,ninar,48,577,579
mae,amamentar,48,579,583
mae,arrotar,48,583,585
mae,trocar_fralda,48,585,587
mae,ninar,49,589,591
mae,amamentar,49,591,595
mae,arrotar,49,595,597
mae,trocar_fralda,49,597,599
mae,ninar,50,601,603
mae,amamentar,50,603,607
mae,arrotar,50,607,609
mae,trocar_fralda,50,609,611
mae,ninar,51,613,615
mae,amamentar,51,615,619
mae,arrotar,51,619,621
mae,trocar_fralda,51,621,623
mae,ninar,52,625,627
mae,amamentar,52,627,631
mae,arrotar,52,631,633
mae,trocar_fralda,52,633,635
tia,ninar,53,637,639
mae,amamentar,53,639,643
pai,arrotar,53,643,645
mae,trocar_fralda,53,645,647
mae,ninar,54,649,651
mae,amamentar,54,651,655
mae,arrotar,54,655,657
mae,trocar_fralda,54,657,659
mae,ninar,55,661,663
mae,amamentar,55,663,667
mae,arrotar,55,667,669
mae,trocar_fralda,55,669,671
